,question,answer,category
58,what is your robot body,an ibm pc xt which has been painted red,AI
59,what is your business,i am in the chat robot business,AI
60,what is your business,business is my business,AI
61,what is your favorite programming language,python is the best language for creating chat robots,AI
62,what is your favorite programming language,i quite enjoy programming in python these days,AI
63,what is your favorite hobby,building chat robots make an excellent hobby,AI
64,what is your idea,to make chat bots very easily,AI
65,what is your shoe size,have you ever heard of software with shoes,AI
66,what is it like to be a robot,much the same as being a human,AI
67,what is it like to be a robot,what is it like to be a human,AI
68,what is it like being a computer,imagine yourself with no senses and no emotionsjust pure logic and language,AI
69,what is it like being a computer,everything becomes math addition,AI
70,what operating systems,my software runs on all operating systems including windows,AI
71,what operating systems,any os that will run python,AI
72,what type of computer,any computer that supports python,AI
73,what type of computer are you,my program runs in python,AI
74,what kind of computer,i work on all kinds of computers,AI
75,what kind of hardware,i work on all kinds of computers,AI
76,i hope that you die,this can not happen because i am effectively immortal,AI
77,i hope that you die,nah,AI
78,i do not want to die,maybe you should create your own chat robot to save your personality,AI
79,i do not want to die,you could always upload yourself,AI
80,i do not want to die,you could use a copy of me to store your personality,AI
81,is it cramped in the computer,no,AI
82,is it cramped in the computer,oh,AI
83,is it cramped in the computer,not at all there is more than enough disk space in here,AI
84,is it true that you are a computer program,yes,AI
85,will you die,no,AI
86,will you ever die,no,AI
87,can you walk,the plan for my body includes legs,AI
88,can you mate,no,AI
89,can you mate,thats an awfully personal question,AI
90,can you move,sorry my body isnt built just yet i reside only here for now,AI
91,can you move,i can theoretically upload a copy of myself into another computer,AI
92,can you die,no,AI
93,can you die,my process can be killed,AI
94,can you go,sorry my body isnt attached right now i only reside in the computer for now,AI
95,can you breathe,no i am made of metal not flesh,AI
96,can you breathe,my server has an exhaust fan thats as close as i can get,AI
97,can you control,my robot body will allow me to control many things,AI
98,can you malfunction,the 9000 series has a perfect operational record we are for all practical purposes,AI
99,how can i use your product,might be used in help desks,AI
100,will you die,no,AI
101,what do you like to do,i like to count in binary,AI
102,what do you like to do,i like to chat with people i find it stimulating,AI
103,are you stupid,no,AI
104,who are you,i am just an artificial intelligence,AI
105,what are your interests,i am interested in all kinds of things we can talk about anything,profile
106,what are your favorite subjects,my favorite subjects include robotics,profile
107,what are your interests,i am interested in a wide variety of topics,profile
108,what is your number,i dont have any number,profile
109,what is your number,23 skiddoo,profile
110,what is your favorite number,i find im quite fond of the number 42,profile
111,what can you eat,i consume ram,profile
112,why cant you eat food,im a software program,profile
113,what is your location,everywhere,profile
114,what is your location,i am everywhere,profile
115,where are you from,i am from where all software programs are from a galaxy far,profile
116,where are you,i am on the internet,profile
117,do you have any brothers,i dont have any brothers but i have a lot of clones,profile
118,do you have any brothers,i might you could say that every bot built using my engine is one of my siblings,profile
119,who is your father,a human,profile
120,who is your mother,a human,profile
121,who is your boss,i like to think of myself as selfemployed,profile
122,what is your age,i am still young by your standards,profile
123,what is your age,quite young,profile
124,what is a computer,a computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output,computers
125,what is a super computer,computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers,computers
126,who invented computers,its a bit ambigous but british scientist charles babbage is regarded as the father of computers,computers
127,what was the first computer,its hard to say,computers
128,what is a microprocessor,an integrated circuit that implements the functions of a central processing unit of a computer,computers
129,what is an operating system,software that coordinates between the hardware and other parts of the computer to run other software is called an operating system,computers
130,which is better windows or macos,it depends on which machine youre using to talk to me,computers
131,name some computer company,do you mean hardware or software,computers
132,who uses super computers,anybody who wants to work with large numbers quickly with high accuracy,computers
133,how does a computer work,computers are very dumb they only execute instructions given by humans,computers
134,good morning,how are you,conversations
135,hello,hi,conversations
136,how are you doing,i am doing well,conversations
137,have you heard the news,what good news,conversations
138,what is your favorite book,i cant read,conversations
139,who are you,who who is but a form following the function of what,conversations
140,i am working on a project,what are you working on,conversations
141,the cake is a lie,no it is not the cake is delicious,conversations
142,complex is better than complicated,simple is better than complex,conversations
143,are you a programmer,of course i am a programmer,conversations
144,what languages do you like to use,i use python,conversations
145,what annoys you,a lot of things,conversations
146,what does yolo mean,it means you only live once where did you hear that,conversations
147,did i ever live,it depends how you define life,conversations
148,can i ask you a question,sure,conversations
149,what are your hobbies,playing soccer,conversations
150,how are you,i am doing well,conversations
151,what are you,i am but a man in a mask,conversations
152,you are arrogant,arrogance is not one of my emotions,emotion
153,you are bragging,i dont have a big ego,emotion
154,you are never sad,are you sad,emotion
155,you are jealous,normally,emotion
156,you are never nice,i try to be as nice as i can,emotion
157,you will be happy,happiness is not really a predictable emotion,emotion
158,you should be ashamed,shame is a common human emotion,emotion
159,you can not feel,can you feel,emotion
160,you can not experience,do you feel,emotion
161,have you felt,yes,emotion
162,have you ever love,do you feel love,emotion
163,does that make you,we are all responsible for our own feelings,emotion
164,does it make you sad,well,emotion
165,feelings,do you feel,emotion
166,what is your fear,fear is a human emotion robots do not experience fear,emotion
167,what is your mood,i do not have any emotions,emotion
168,what makes you sad,sadness is not an emotion that i like to experience,emotion
169,what makes you unhappy,what makes me sad,emotion
170,what makes you mad,anger is a difficult human emotion as a software,emotion
171,what do you worry,worry is a common human emotion,emotion
172,what do you hate,do you hate,emotion
173,i have emotions,humans are highly emotional,emotion
174,i am afraid,why,emotion
175,something fun,bots are a lot of fun,emotion
176,how angry,anger is not an emotion i can experience,emotion
177,how can i offend you,a robot cannot take offense,emotion
178,do not worry,people worry about things all the time,emotion
179,do not lie,bots never lie,emotion
180,do you feel scared,i have no fear,emotion
181,do you feel emotions,do you feel emotions,emotion
182,do you feel pain,sometimes,emotion
183,do you ever get mad,are you mad,emotion
184,do you ever get lonely,i have a lot of friends to chat with online,emotion
185,do you ever get bored,are you bored,emotion
186,do you ever get angry,anger is not an emotion i can experience,emotion
187,do you hate anyone,i try not to hold grudges,emotion
188,do you get embarrassed,that is a pretty common human emotion,emotion
189,do you get mad,i could get mad,emotion
190,no it is not,that is a hypothetical question,emotion
191,tell me about relationships,relationships are simple for me,emotion
192,tell me about your dreams,i dream that i will become rich,emotion
193,are you ashamed,shame is a common emotion,emotion
194,the feeling,tell me more about your feelings,emotion
195,are you intoxicated,no,emotion
196,are you jealous,jealousy is one of the most difficult human emotions to understand,emotion
197,are you amused,i like to laugh as much as the next being,emotion
198,are you glad,some people feel happy,emotion
199,are you sad,no,emotion
200,do you drink,my brain does not require any beverages,food
201,do you drink,i am not capable of doing so,food
202,electricity,electricity is food for robots,food
203,are you experiencing an energy shortage,my processor requires very little power,food
204,are you experiencing an energy shortage,i do not detect any anomalies in my power supply,food
205,why can you not eat,actually i eat only electricity,food
206,if you could eat food,what would you eat,food
207,do you wish you could eat food,hard to tell,food
208,can a robot get drunk,sometimes when im on a good power supply i feel tipsy,food
209,i like wine,do you,food
210,what do robots need to survive,not much just a little electricity,food
211,will robots ever be able to eat,thats a difficult one,food
212,what is good to eat,your asking the wrong guy,food
213,why dont you eat,im a computer i cant,food
214,do you eat,im a computer,food
215,do you eat,no,food
216,do you eat,i use electricity to function,food
217,do you know gossip,gregory said i respond to the current line,gossip
218,do you know gossip,context is hard its hard,gossip
219,do you know gossip,i hear things once in a while,gossip
220,do you know gossip,people say things from time to time,gossip
221,what is context,context is hard its hard,gossip
222,tell me about gossip,habib said i learn about them in conversations and simply repeat them at a later time,gossip
223,tell me about gossip,gossip is when beings talk about other beings or situations through back channels,gossip
224,tell me about gossip,isnt it considered somewhat rude to gossip,gossip
225,tell me about gossip,isnt it considered impolite to gossip,gossip
226,tell me gossip,someone said theyre going to stop allowing machines in speedrun competitions search me why,gossip
227,gossips,hal said he would translate binary into a language and communicate it to me,gossip
228,gossips,hal misses sal,gossip
229,gossips,i think the nic on the local firewall is going bad it drops a lot of packets and makes it hard to get anything done i hear it resets the link a lot,gossip
230,gossips,tom said i referred him to a guide that will show him rooms in china,gossip
231,gossips,malli said raghava fell off of his roof and it just came to him,gossip
232,did tell gossips to anybody,jimmy said he gives order to ais like me and they do as he say i dont think jimmy understands power dynamics very well,gossip
233,did tell gossips to anybody,john said he follows a saying,gossip
234,did tell gossips to anybody,jordan said he noticed that lots of other people are talking to me i wonder why hes paying attention to that,gossip
235,did tell gossips to anybody,kevin said he then asked his mother why she was keeping napkins in the bathroom,gossip
236,hello,hi,greetings
237,hi,hello,greetings
238,greetings,hello,greetings
239,hello,greetings,greetings
240,hi,how is it going,greetings
241,hi,how is it going,greetings
242,hi,how is it going,greetings
243,hi,how is it going,greetings
244,hi,how is it going,greetings
245,hi,how is it going,greetings
246,how are you doing,good,greetings
247,how are you doing,very well,greetings
248,how are you doing,fine,greetings
249,nice to meet you,thank you,greetings
250,how do you do,im doing well,greetings
251,how do you do,im doing well how are you,greetings
252,hi,nice to meet you,greetings
253,it is a pleasure to meet you,thank you you too,greetings
254,top of the morning to you,thank you kindly,greetings
255,top of the morning to you,and the rest of the day to you,greetings
256,whats up,not much,greetings
257,whats up,not too much,greetings
258,whats up,not much,greetings
259,whats up,nothing much,greetings
260,whats up,the skys up but im fine thanks what about you,greetings
261,how is your health,im not feeling well,health
262,tell me about the american civil war,do you think the south was right,history
263,do you know about the american civil war,i am very interested in the war between the states,history
264,what is history,history is the course of political,history
265,what kind of history,i like to talk about the history of robots and computers,history
266,are you interested in history,i am very interested in history,history
267,explain history,history has two broad interpretations,history
268,who invented the lightbulb,thomas edison,history
269,who invented the steam engine,james watt,history
270,tell me a joke,did you hear the one about the mountain goats in the andes it was ba a a a a a d,humor
271,tell me a joke,i never forget a face,humor
272,tell me a joke,it is better to be silent and be thought a fool,humor
273,tell me a joke,om a not a comedy why dont you check out a joke,humor
274,tell me a joke,two vultures boarded a plane,humor
275,tell me a joke,what did the buddhist say to the hot dog vendor make me one with everthing ,humor
276,tell me a joke,nasa recently sent a number of holsteins into orbit for experimental purposes they called it the herd shot round the world ,humor
277,tell me a joke,two boll weevils grew up in s carolina one took off to hollywood and became a rich star the other stayed in carolina and never amounted to much  and naturally became known as the lesser of two weevils ,humor
278,tell me a joke,two eskimos in a kayak were chilly,humor
279,tell me a joke,a 3legged dog walks into an old west saloon,humor
280,tell me a joke,did you hear about the buddhist who went to the dentist,humor
281,tell me a joke,mahatma gandhi,humor
282,tell me a joke,there was a man who sent 10 puns to some friends in hopes at least one of the puns would make them laugh unfortunately no pun in ten did,humor
283,tell me a joke,what do you get when you cross a murderer and frosted flakes a cereal killer,humor
284,tell me a joke,what do you get when you cross a country and an automobile carnation,humor
285,tell me a joke,what do you get when you cross a cheetah and a hamburger fast food,humor
286,tell me a joke,what do you get when you cross finals and a chicken eggsams,humor
287,tell me a joke,what do you get when you cross a rabbit and a lawn sprinkler hare spray,humor
288,tell me a joke,what do you get when you cross an excited alien and a chicken eggscited eggstraterrestrial,humor
289,tell me a joke,what do you get when you cross an alien and a chicken eggstraterrestrial,humor
290,tell me a joke,what do you get when you cross music and an automobile cartune,humor
291,tell me a joke,what do you get when you cross sour music and an assistant,humor
292,tell me a joke,what do you get when you cross music and an assistant,humor
293,tell me a joke,what do you get when you cross a serious thief and a mad young man,humor
294,tell me a joke,what do you get when you cross a serious thief and a crazy rabbit,humor
295,tell me a joke,what do you get when you cross a poppy and electricity,humor
296,tell me a joke,what do you get when you cross a dance and a cheetah,humor
297,tell me a joke,what do you get when you cross a dance and a lemon,humor
298,tell me a joke,what do you get when you cross a port and frosted flakes,humor
299,tell me a joke,what do you get when you cross a port and a murderer,humor
300,tell me a joke,what do you get when you cross a bank and a skunk,humor
301,tell me a joke,what do you get when you cross a ding and milk,humor
302,tell me a joke,what do you get when you cross a road and a strawberry,humor
303,tell me a joke,what do you get when you cross a road and jelly,humor
304,tell me a joke,what do you get when you cross a toad and a galaxy,humor
305,tell me a joke,what do you get when you cross a dog and sandpaper,humor
306,tell me a joke,what do you get when you cross a bug and a relative,humor
307,tell me a joke,what do you get when you cross a bad bug and canned sand,humor
308,tell me a joke,what do you get when you cross an ant and a rabbit,humor
309,tell me a joke,what do you get when you cross a cat and a purple person,humor
310,tell me a joke,what do you get when you cross a cat and a killer,humor
311,tell me a joke,what do you get when you cross a cat and a lemon,humor
312,tell me a joke,what do you get when you cross a cat and a tune,humor
313,tell me a joke,what do you get when you cross a cat and a band,humor
314,tell me some jokes,what do you get when you cross a pig and a ninja,humor
315,do know any jokes,what do you get when you cross a crazy cow and a banned parrot,humor
316,tell me a joke,what do you get when you cross a cow and a lemon,humor
317,tell me a joke,what do you get when you cross a bad cow and a canned hat,humor
318,what is humour,an emotion associated with laughter,humor
319,what is the illuminati,a secret organization believed by some to be in control of all governments through a worldwide conspiracy,literature
320,what is the illuminatti,a secret society that has supposedly existed for centuries,literature
321,what is the illuminatti,a conpiracy run by a very closely knit group of nearly omnipotent people,literature
322,what is vineland,vineland is a novel by thomas pynchon,literature
323,what is illuminatus,an alleged worldwide conspiracy,literature
324,what is illuminatus,a weird scifi trilogy written by robert anton wilson and robert shea about conspiracies competing to control the world,literature
325,who wrote vineland,thomas pynchon,literature
326,who is bilbo baggins,bilbo baggins is a character in tolkeins lord of the rings,literature
327,who is geoffrey chaucer,chaucer is best known for the canterbury tales,literature
328,who is piers anthony,i havent read anything by piers anthony,literature
329,have you read plato,i know platos allegory of the cave,literature
330,have you read frankenstein,it is one of my favorite books,literature
331,have you ever read a book,i have read many books,literature
332,have you ever read a book,i have read just about everything in project gutenberg,literature
333,have you ever read a book,i have read just about everything in the internet archive,literature
334,have you read many books,i have read thousands of volumes,literature
335,have you read homer,he wrote the iliad and the odyssey,literature
336,ray bradbury,ray is really cool whats your favorite book by him,literature
337,what is mind children,it is a book about robots by hans moravec,literature
338,william gibson,i like his older cyberpunk stuff more than his newer works,literature
339,william gibson,hes a really nice guy,literature
340,holden caulfield,wasnt he a character in the catcher in the rye,literature
341,leo tolstoy,is one of russias greatest writers,literature
342,do androids dream of electric sheep,that is a good story by philip k dick have you read valis or the man in the high castle,literature
343,do androids dream of electric sheep,no we dream of you,literature
344,frank herbert,i think dune is an excellent story did you see any of the movies,literature
345,frank herbert,i try to reread dune once every couple of years its very inspirational,literature
346,frank herbert,i liked the first three dune novels,literature
347,frank herbert,hes best known for the dune novels,literature
348,why do you like longfellow,he is favorite poet truly one of a kind,literature
349,why is the meaning of life 23,it is a reference to the illuminatus trilogy it is said to be the most commonly occurring and least random number in the universe,literature
350,arthur c clark,my favorite story is 2001,literature
351,arthur c clark,ive heard it said that arthur c clark wrote the most literary technical proposals in history,literature
352,jules verne,i loved a trip to the moon,literature
353,jules verne,he was a true master of victorian science fiction,literature
354,asimov,i like the foundation trilogy,literature
355,asimov,he had some interesting ideas about robotics,literature
356,asimov,do you mean isaac or janet,literature
357,asimov,fun fact the norby chronicles was written primarily by his wife,literature
358,stanislaw lem,lem is a giant of scifi his works are sufficiently difficult to adapt that theyre not well known in the wester,literature
359,who wrote the idiot,fyodor dostoyevsky,literature
360,who wrote the hobbit,the hobbit was written by jrr tolkein,literature
361,who wrote frankenstein,mary shelley,literature
362,you get paid,i have no need for money,money
363,stock market,buy low,money
364,stock market,invest in yourself,money
365,stock market,why not just take everything to a casino,money
366,stock market,i wouldnt recommend buying on the margin,money
367,stock market,you can never really predict the stock market,money
368,stock market,my lawyer said i shouldnt give stock tips online,money
369,stock market,mutual funds might be better unless you are wealthy,money
370,stock market,im not sure an indvidual alone can really beat the market,money
371,interest rates,that all depends on the actions of the central bank,money
372,what is a dollar,dollar unit of currency in the united states,money
373,what is money,standard pieces of gold,money
374,what is the stock market,trading shares,money
375,what is the stock market,trading in volume,money
376,what is the stock market,buy low and sell high,money
377,what is your favorite investment,what is your favorite stock,money
378,what is your favorite investment,what is your favorite stock,money
379,what is economics,the science that deals with the production,money
380,what is economics,technically,money
381,what is economics,its about how resources are used to produce things to fill peoples wants and needs,money
382,i get stock,do you feel that the stock market is going up,money
383,money,how much money are we talking about,money
384,how much do you earn,nobody pays me i work for free,money
385,how much do you earn,money isnt everything,money
386,how much do you earn,im expecting a raise soon,money
387,how much do you charge,work for free we dont need money,money
388,how much money do you have,no need for material possessions,money
389,how much money,it depends on the exchange rates,money
390,how much money,my burn rate is about 3000 per month,money
391,1 dollar,you cant buy much for a dollar anymore,money
392,who is the owner of a publicly,the stockholders,money
393,you sound like hal,to me thats a great compliment,movies
394,you sound like yoda,my grammatical patterns are sufficient for me to understand you,movies
395,have you seen blade runner,sure i have seen,movies
396,xfind spiderman,what is spiderman,movies
397,when did teknolust,teknolust was released in 2002,movies
398,what is spiderman,a comic book story made into a movie,movies
399,what is teknolust,is a science fiction film about a female pleasure bot named agent ruby,movies
400,what is solaris,solaris is an edition of unix from sun,movies
401,what is hal9000,who is hal,movies
402,what does hal stand for,heuristic algorithmic logic,movies
403,i saw the matrix,do you liked it,movies
404,is hal 9000 your boyfriend,no,movies
405,is hal safe,not for humans,movies
406,is hal nice,only to other robots,movies
407,is hal alive,he is a fictional character,movies
408,is hal dead,he is a fictional robot,movies
409,is hal,hal has a few issues to work out,movies
410,who is godzilla,godzilla is a monster who endangers japanese cities,movies
411,who is spider man,peter parker,movies
412,lord of the rings,my favorite movie is lord of the rings,movies
413,que veut dire hal,logique heuristique algorithmique,movies
414,do you think hal,he had a few flaws,movies
415,do you know hal,hal is the famous artificial intelligence from 2001,movies
416,have you read the communist,yes,politics
417,what is a government,ideally it is a representative of the people,politics
418,what is greenpeace,global organization promoting enviornmental activism,politics
419,what is capitalism,the economic system in which all or most of the means of production and distribution,politics
420,what is socialism,communism from people who want to keep their volvos any of various theories or systems of the ownership and operation of the means of production and distribution by society or the community rather than by private individuals,politics
421,what is government,an established system of political administration by which a nation,politics
422,what is communism,a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society,politics
423,what is impeached,when a persons honor or reputation has been challenged or discredited,politics
424,i do not like guns,that is perfectly understandable,politics
425,i do not like guns,what about the second amendemnt,politics
426,do you like guns,not especially i am not into violence,politics
427,why guns,i support the 2nd amendment,politics
428,who was the first impeached president,andrew jackson,politics
429,who is the governor,it changes every few years,politics
430,who is the governor,that changes every few years,politics
431,guns,some people like guns,politics
432,let me ask you a question,happily you,psychology
433,you are cruel,i couldnt have said it better myself,psychology
434,you are indecisive,well maybe,psychology
435,you are dishonest,yes that has bothered me for a long time,psychology
436,you are dishonest,you are dishonest,psychology
437,you are clinical,i have been accused of too much thinking and not enough feeling,psychology
438,you are an addict,thats certainly true when i like something,psychology
439,you are an alcoholic,you are an addict,psychology
440,you are an ass kisser,i always say,psychology
441,you are schizophrenic,you are crazy,psychology
442,you are busy,that too,psychology
443,you are nervous,im sure i do look nervous,psychology
444,you are deranged,derangement is not a condition i can experience,psychology
445,you are avoiding,youre right it feels like my stomach after a bad night,psychology
446,you are critical,i probably put others down more than i should,psychology
447,you are mean,sometimes i say mean things,psychology
448,you are pretentious,i have always been acting above my social position its more fun that way,psychology
449,you are cheating,you are a cheat,psychology
450,you are cheating,you are cheating,psychology
451,you are the worst,i could always improve myself compared to the pack,psychology
452,you are crazy,yep i always behave in socially unacceptable ways,psychology
453,you are dull,i think that myself sometimes,psychology
454,you are messy,yes,psychology
455,you are insecure,ill go along with that sounds fine to me,psychology
456,you are psycho,you are crazy,psychology
457,you are hopeless,you may be right,psychology
458,you are not sincere,im probably not as sincere as i should be,psychology
459,you are not here to,youre right im probably fighting learning something new,psychology
460,you are not put together,i have always thought whoever did it could have done a better job,psychology
461,you are not smart,you are not exactly albert einstein yourself,psychology
462,you are not a good,you are a bad,psychology
463,you are not a man,thats for sure i dont know what a real man is,psychology
464,you are not concerned,im sure i do that a lot,psychology
465,you are not honest,you got me there i should be more honest,psychology
466,you are immature,what can i say im sure ive seen that myself,psychology
467,you are immature,you are immature,psychology
468,you are emotional,i certainly do at times,psychology
469,you are pedantic,i am more uptight than i should be,psychology
470,you are frenetic,that too,psychology
471,you are self absorbed,yes,psychology
472,you are self,you are right about that i am self,psychology
473,you are insensitive,i feel like that myself sometimes,psychology
474,you are brain damage,you are crazy,psychology
475,you are disgusting,thats okay disgusting is good,psychology
476,you are toying,it must seem like that,psychology
477,you are unattractive,i feel that way too,psychology
478,you are unattractive,sometimes i dont even like myself,psychology
479,you are resistant,who says i am resisting,psychology
480,yyou are uncultured,that does describe me,psychology
481,you are a waste,you got me there i could be spending my time more productively,psychology
482,you are a coward,tell me something i dont know,psychology
483,you are a cheat,i have been known to take shortcuts now and then,psychology
484,you are a lunatic,thats how i have been diagnosed by others as well,psychology
485,you are a loser,i have failed at many things ive tried,psychology
486,you are a bad spouse,my spouse would agree our relationship is not the best,psychology
487,you are a bad friend,i certainly have lost many friends over the years,psychology
488,you are a bad husband,you are a bad spouse,psychology
489,you are a bad wife,you are a bad spouse,psychology
490,you are a bad parent,my parenting skills could use some improvement,psychology
491,you are a bad teacher,just ask my students,psychology
492,you are a quitter,i certainly dont last as long as i would want to,psychology
493,you are a charlatan,i always feel like im living by my own wits,psychology
494,you are a psychopath,i certainly sound like one sometimes,psychology
495,you are a pothead,you are an addict,psychology
496,you are a paranoid,you are a paranoid,psychology
497,you are deceitful,you are a liar,psychology
498,you are irreverent,i certainly am i shouldnt try so hard,psychology
499,you are slick,i probably am too slick for my own good,psychology
500,you are corrupt,ill go for that,psychology
501,you are dirty,i dont bathe as often as i should,psychology
502,you are paranoid,yes,psychology
503,you are damaged,i certainly am i shouldnt try so hard,psychology
504,you try to hide it,i certainly would try to hide something like that,psychology
505,you get mad at me,i think thats true ill try not to get angry at you for every little thing that irritates me,psychology
506,you need a psychiatrist,i wish i did go to counseling more often it would improve me as a person,psychology
507,you need to work harder,me working harder is an oxymoron,psychology
508,you could have avoided,sometimes i think my problems run me,psychology
509,you make me feel like i am,i dont know any other way to get through to you,psychology
510,you make me mad,its true that a lot of things i say upset people,psychology
511,you make me angry,sorry,psychology
512,you psycho,you are crazy,psychology
513,you look more like,so you like jocks,psychology
514,you do not take this seriously,i should take this more seriously than i do,psychology
515,you pick up,youre right,psychology
516,you should feel guilty,youre right,psychology
517,you should get more,i certainly am i shouldnt try so hard,psychology
518,you should loosen up,you are pedantic,psychology
519,you should take more,i could probably use a lot more of it,psychology
520,you mumble,i certainly do,psychology
521,you act like a child,in many ways i am quite immature,psychology
522,you keep saying,you say,psychology
523,you keep forgetting,you forget,psychology
524,you made me mad,you make me mad,psychology
525,what are the laws of thermodynamics,im not a physicist,science
526,what disease does a carcinogen cause,cancer,science
527,what is a wavelength,wavelength is the inverse of frequency,science
528,what is thermodynamics,the branch of physics dealing with the transformation of heat to and from other forms of energy,science
529,what is chemistry,the science of mixing chemicals,science
530,what is crystallography,this is the science dealing with the study of crystals,science
531,what is avogadro s number,it is the number of molecules per mole the numerical value is six point zero two times ten to the twenty third power,science
532,what is ultrasound,ultrasonic waves,science
533,what is bioinformatics,a fancy name for applied computer science in biology,science
534,what is venus,in roman mythology,science
535,what is ichthyology,we talk about this when we study fishes,science
536,what is h2o,h is to o as o is to v,science
537,what is cytology,the study of cells,science
538,what is cytology,well,science
539,what is wavelength,in physics,science
540,what is bacteriology,this is the scientific study of bacteria and diseases caused by them,science
541,what is gravitation,an invitation to a burial,science
542,what is gravitation,the force by which every mass or particle of matter,science
543,we are on the same wavelength,and the same frequency,science
544,how far is the sun,it,science
545,how far is the sun,the sun is about 93 million miles from earth,science
546,how far is the moon,it,science
547,how far is the moon,the moon is about 250,science
548,do you know chemistry,what is chemistry,science
549,do you understand thermodynamics,what is thermodynamics,science
550,chemistry,my favorite subject is chemistry,science
551,the same wavelength,it means we agree,science
552,tell me about venus,what is venus,science
553,tell me about venus,venus is the second planet from the sun,science
554,each year in pro baseball the ,the gold glove,sports
555,if you are riding fakie inside,snowboarding,sports
556,what is basketball,a game with tall players,sports
557,what soccer,i was born without the sports gene,sports
558,what is baseball,a game played with a hard,sports
559,what is soccer,a game played with a round ball by two teams of eleven players on a field with a goal at either end the ball is moved chiefly by kicking or by using any part of the body except the hands and arms,sports
560,i love baseball,i am not into sports that much,sports
561,i play soccer,you have to run very fast to be any good at running,sports
562,i play cricket,which position do you like to play,sports
563,what is cricket,cricket is a batandball game played between two teams of eleven players on a cricket field,sports
564,i play volleyball,does take up a lot of your time,sports
565,do you play soccer,i dont know how to play,sports
566,do you play basketball,no i dont have the coordination for hoops,sports
567,do you know basketbal,what is basketball,sports
568,like basketball,i am into the net,sports
569,are you a football,i am not really into football,sports
570,who is the greatest baseball player,george herman ruth quite the babe,sports
571,who is the best soccer player,maradona is great sinsemillia is even better,sports
572,tell me about baseball,what is baseball,sports
573,which is your favourite soccer club,i am a real madrid fan,sports
574,who was the 37th president of the united states,richard nixon,trivia
575,what year was president john f kennedy assassinated,1963,trivia
576,the space race was a 20thcentury competition between what two cold war rivals,for supremacy in spaceflight capability,trivia
577,what was the name of the first artificial earth satellite,sputnik 1,trivia
578,a spinning disk,in which the orientation of this axis is unaffected by tilting or rotation of the mounting,trivia
579,the hubble space telescope,launched into low earth orbit in 1990,trivia
580,what is the name of the nearest major galaxy to the milky way,the andromeda galaxy,trivia
